eid	roadmap_name	encode_biosample	match_quality	assay	accession	url	ext	file_size	bio_rep	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	source
E061	Foreskin_Melano_3	foreskin melanocyte	exact	DNase	ENCFF768NBD	https://www.encodeproject.org/files/ENCFF768NBD/@@download/ENCFF768NBD.bam	bam	23039074924	1	ENCSR434OBM	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T21:45:19.239150+00:00	true	data/E061_Foreskin_Melano_3/DNase/ENCFF768NBD.bam	ENCODE
E061	Foreskin_Melano_3	foreskin melanocyte	exact	H3K27ac	NOT_FOUND			0	0					false		
E061	Foreskin_Melano_3	foreskin melanocyte	exact	HiC	NOT_FOUND			0	0					false		
E065	Aorta	aorta	exact	DNase	ENCFF397WGK	https://www.encodeproject.org/files/ENCFF397WGK/@@download/ENCFF397WGK.bam	bam	18222442635	1	ENCSR595DQM	ENCODE4	dnase-alignment-step-v-1-0	2020-09-25T14:32:08.641652+00:00	true	data/E065_Aorta/DNase/ENCFF397WGK.bam	ENCODE
E065	Aorta	aorta	exact	H3K27ac	ENCFF233YWT	https://www.encodeproject.org/files/ENCFF233YWT/@@download/ENCFF233YWT.bam	bam	1260468636	1	ENCSR322TJD	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-19T18:52:30.398016+00:00	true	data/E065_Aorta/H3K27ac/ENCFF233YWT.bam	ENCODE
E065	Aorta	aorta	exact	HiC	ENCFF592DEU	https://www.encodeproject.org/files/ENCFF592DEU/@@download/ENCFF592DEU.hic	hic	6518490975	1	ENCSR797MWY	ENCODE4	hic-diploidification-step-v-1-1	2023-01-31T00:12:56.190235+00:00	true	data/E065_Aorta/HiC/ENCFF592DEU.hic	ENCODE
E079	Esophagus	esophagus squamous epithelium	close	DNase	ENCFF699UQU	https://www.encodeproject.org/files/ENCFF699UQU/@@download/ENCFF699UQU.bam	bam	15476706882	1	ENCSR783OCW	ENCODE4	dnase-alignment-step-v-1-0	2020-10-24T00:03:58.687622+00:00	true	data/E079_Esophagus/DNase/ENCFF699UQU.bam	ENCODE
E079	Esophagus	esophagus squamous epithelium	close	H3K27ac	ENCFF794FXP	https://www.encodeproject.org/files/ENCFF794FXP/@@download/ENCFF794FXP.bam	bam	3743969106	1	ENCSR204TAU	ENCODE4	chip-seq-alignment-step-v-2-0	2020-09-23T23:53:14.280068+00:00	true	data/E079_Esophagus/H3K27ac/ENCFF794FXP.bam	ENCODE
E079	Esophagus	esophagus squamous epithelium	close	HiC	ENCFF224HKR	https://www.encodeproject.org/files/ENCFF224HKR/@@download/ENCFF224HKR.hic	hic	47427931619	1	ENCSR015CVF	ENCODE4	hic-merging-quantification-interaction-calling-step-v-1-1	2022-10-26T18:58:28.813495+00:00	true	data/E079_Esophagus/HiC/ENCFF224HKR.hic	ENCODE
E095	Left_Ventricle	heart left ventricle	exact	DNase	ENCFF846KVX	https://www.encodeproject.org/files/ENCFF846KVX/@@download/ENCFF846KVX.bam	bam	10021020898	1	ENCSR946DXB	ENCODE4	dnase-alignment-step-v-1-0	2020-11-06T22:43:01.050324+00:00	false	data/E095_Left_Ventricle/DNase/ENCFF846KVX.bam	ENCODE
E095	Left_Ventricle	heart left ventricle	exact	DNase	ENCFF776NLW	https://www.encodeproject.org/files/ENCFF776NLW/@@download/ENCFF776NLW.bam	bam	13891415936	2	ENCSR946DXB	ENCODE4	dnase-alignment-step-v-1-0	2020-11-06T22:43:05.340924+00:00	true	data/E095_Left_Ventricle/DNase/ENCFF776NLW.bam	ENCODE
E095	Left_Ventricle	heart left ventricle	exact	H3K27ac	ENCFF480VMO	https://www.encodeproject.org/files/ENCFF480VMO/@@download/ENCFF480VMO.bam	bam	2246179808	1	ENCSR748OJA	ENCODE4	chip-seq-alignment-step-v-2-0	2022-07-20T00:57:22.634062+00:00	true	data/E095_Left_Ventricle/H3K27ac/ENCFF480VMO.bam	ENCODE
E095	Left_Ventricle	heart left ventricle	exact	HiC	ENCFF524BGW	https://www.encodeproject.org/files/ENCFF524BGW/@@download/ENCFF524BGW.hic	hic	6262536582	1	ENCSR498AFT	ENCODE4	hic-diploidification-step-v-1-1	2024-08-13T18:25:02.331014+00:00	true	data/E095_Left_Ventricle/HiC/ENCFF524BGW.hic	ENCODE
