cell_type	assay	accession	url	ext	file_size	bio_reps	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	output_type	assembly
E011_hESC_CD184_Endoderm	HiC	NOT_FOUND			0						false			
E012_hESC_CD56_Ectoderm	DNase	NO_MAPPING			0						false			
E012_hESC_CD56_Ectoderm	H3K27ac	NO_MAPPING			0						false			
E012_hESC_CD56_Ectoderm	ATAC	NO_MAPPING			0						false			
E012_hESC_CD56_Ectoderm	HiC	NO_MAPPING			0						false			
E013_hESC_CD56_Mesoderm	DNase	ENCFF604YMS	https://www.encodeproject.org/files/ENCFF604YMS/@@download/ENCFF604YMS.bam	bam	1546502242	1	ENCSR000EMX	ENCODE4	dnase-alignment-step-v-1-0	2020-11-12T05:32:53.675266+00:00	true	data/E013_hESC_CD56_Mesoderm/DNase/ENCFF604YMS.bam	unfiltered alignments	GRCh38
E013_hESC_CD56_Mesoderm	H3K27ac	NOT_FOUND			0						false			
E013_hESC_CD56_Mesoderm	ATAC	NOT_FOUND			0						false			
E013_hESC_CD56_Mesoderm	HiC	NOT_FOUND			0						false			
E016_HUES64	DNase	NOT_FOUND			0						false			
E016_HUES64	H3K27ac	NOT_FOUND			0						false			
E016_HUES64	ATAC	NOT_FOUND			0						false			
E016_HUES64	HiC	NOT_FOUND			0						false			
E024_CD4_CD25_Treg	DNase	ENCFF212NUC	https://www.encodeproject.org/files/ENCFF212NUC/@@download/ENCFF212NUC.bam	bam	10503258855	1	ENCSR234FTX	ENCODE4	dnase-alignment-step-v-1-0	2022-05-23T18:29:21.720604+00:00	true	data/E024_CD4_CD25_Treg/DNase/ENCFF212NUC.bam	unfiltered alignments	GRCh38
E024_CD4_CD25_Treg	H3K27ac	NOT_FOUND			0						false			
E024_CD4_CD25_Treg	ATAC	ENCFF741EPO	https://www.encodeproject.org/files/ENCFF741EPO/@@download/ENCFF741EPO.bam	bam	7070752535	1	ENCSR504OUW	ENCODE4	atac-seq-alignment-step-v-2-1	2021-10-08T00:00:25.961809+00:00	true	data/E024_CD4_CD25_Treg/ATAC/ENCFF741EPO.bam	unfiltered alignments	GRCh38
E024_CD4_CD25_Treg	HiC	NOT_FOUND			0						false			
E027_Breast_Myoepithelial	DNase	NO_MAPPING			0						false			
E027_Breast_Myoepithelial	H3K27ac	NO_MAPPING			0						false			
E027_Breast_Myoepithelial	ATAC	NO_MAPPING			0						false			
E027_Breast_Myoepithelial	HiC	NO_MAPPING			0						false			
E028_Breast_vHMEC	DNase	ENCFF037PGN	https://www.encodeproject.org/files/ENCFF037PGN/@@download/ENCFF037PGN.bam	bam	7374449029	1	ENCSR817ALC	ENCODE4	dnase-alignment-step-v-1-0	2021-10-18T18:36:10.540522+00:00	true	data/E028_Breast_vHMEC/DNase/ENCFF037PGN.bam	unfiltered alignments	GRCh38
E028_Breast_vHMEC	H3K27ac	ENCFF041ROD	https://www.encodeproject.org/files/ENCFF041ROD/@@download/ENCFF041ROD.bam	bam	587869952	2	ENCSR000ALW	ENCODE4	chip-seq-alignment-step-v-2-0	2020-09-30T05:44:40.244498+00:00	true	data/E028_Breast_vHMEC/H3K27ac/ENCFF041ROD.bam	unfiltered alignments	GRCh38
E028_Breast_vHMEC	ATAC	NOT_FOUND			0						false			
E028_Breast_vHMEC	HiC	ENCFF039SIJ	https://www.encodeproject.org/files/ENCFF039SIJ/@@download/ENCFF039SIJ.hic	hic	5796299950	1	ENCSR707XVJ	ENCODE4	hic-diploidification-step-v-1-1	2022-11-01T04:55:06.131853+00:00	true	data/E028_Breast_vHMEC/HiC/ENCFF039SIJ.hic	haplotype-specific contact matrix	GRCh38
